"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"55291","2008","Auditor","General","","Addison","","Martha Abbott","Progressive","63"
"55292","2008","Auditor","General","","Albany","","Martha Abbott","Progressive","48"
"55293","2008","Auditor","General","","Alburgh","","Martha Abbott","Progressive","80"
"55294","2008","Auditor","General","","Andover","","Martha Abbott","Progressive","24"
"55295","2008","Auditor","General","","Arlington","","Martha Abbott","Progressive","114"
"55296","2008","Auditor","General","","Athens","","Martha Abbott","Progressive","12"
"55297","2008","Auditor","General","","Bakersfield","","Martha Abbott","Progressive","89"
"55298","2008","Auditor","General","","Baltimore","","Martha Abbott","Progressive","8"
"55299","2008","Auditor","General","","Barnard","","Martha Abbott","Progressive","45"
"55300","2008","Auditor","General","","Barnet","","Martha Abbott","Progressive","66"
"55301","2008","Auditor","General","","Barre City","Washington 3-1","Martha Abbott","Progressive","158"
"55302","2008","Auditor","General","","Barre City","Washington 3-2","Martha Abbott","Progressive","139"
"55303","2008","Auditor","General","","Barre City","Washington 3-3","Martha Abbott","Progressive","36"
"55304","2008","Auditor","General","","Barre Town","","Martha Abbott","Progressive","232"
"55305","2008","Auditor","General","","Barton","","Martha Abbott","Progressive","88"
"55306","2008","Auditor","General","","Belvidere","","Martha Abbott","Progressive","16"
"55307","2008","Auditor","General","","Bennington","Bennington 2-1","Martha Abbott","Progressive","327"
"55308","2008","Auditor","General","","Bennington","Bennington 2-2","Martha Abbott","Progressive","347"
"55309","2008","Auditor","General","","Bennington","Bennington 5","Martha Abbott","Progressive","5"
"55310","2008","Auditor","General","","Benson","","Martha Abbott","Progressive","67"
"55311","2008","Auditor","General","","Berkshire","","Martha Abbott","Progressive","79"
"55312","2008","Auditor","General","","Berlin","","Martha Abbott","Progressive","107"
"55313","2008","Auditor","General","","Bethel","","Martha Abbott","Progressive","127"
"55314","2008","Auditor","General","","Bloomfield","","Martha Abbott","Progressive","10"
"55315","2008","Auditor","General","","Bolton","","Martha Abbott","Progressive","113"
"55316","2008","Auditor","General","","Bradford","","Martha Abbott","Progressive","91"
"55317","2008","Auditor","General","","Braintree","","Martha Abbott","Progressive","61"
"55318","2008","Auditor","General","","Brandon","","Martha Abbott","Progressive","168"
